export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,calibration_repeats,test_repeats_per_calibration,value,fdr_ratio,power,discovery_probability,fdr,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,count,style_key,label
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,1.6,-1.8010299956639813,-1.451544993495972,1.5,1.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.290306130272208,1.0,0.7599350736842105,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,1.7999999999999998,-1.8010299956639813,-1.451544993495972,1.7,1.9,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.0969100130080565,1.0,0.7605430568421053,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,2.0,-1.8010299956639813,-1.451544993495972,1.9,2.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.898768613209301,1.0,0.7605163115789474,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,2.2,-1.8010299956639813,-1.451544993495972,2.1,2.3,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.7016928626714921,1.0,0.7608525136842106,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,2.4,-1.8010299956639813,-1.451544993495972,2.3,2.5,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.5016894462103995,1.0,0.7598987284210527,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,2.6,-1.8010299956639813,-1.451544993495972,2.5,2.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.3021170913051953,1.0,0.7597485642105263,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,2.8,-1.8010299956639813,-1.451544993495972,2.7,2.9,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.1023729087095585,1.0,0.7611795284210526,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,3.0,-1.8010299956639813,-1.451544993495972,2.9,3.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.097344090487375,0.0,0.7595743410526316,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,3.2,-1.8010299956639813,-1.451544993495972,3.1,3.3,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.2972131959896414,0.0,0.7603642778947368,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,3.4,-1.8010299956639813,-1.451544993495972,3.3,3.5,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.4971025016006324,0.0,0.7604805642105262,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,3.6,-1.8010299956639813,-1.451544993495972,3.5,3.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.6970112686994471,0.0,0.7596527410526316,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,3.8,-1.8010299956639813,-1.451544993495972,3.7,3.9,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.8970081931828321,0.0,0.75946368,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,4.0,-1.8010299956639813,-1.451544993495972,3.9,4.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-1.096953440284919,0.0,0.7609812631578947,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,1.4,-1.451544993495972,-1.1505149978319906,1.3,1.5,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.1870866433571443,1.0,0.7601669389473683,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,1.6,-1.451544993495972,-1.1505149978319906,1.5,1.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.9892761346082268,1.0,0.758717052631579,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,1.7999999999999998,-1.451544993495972,-1.1505149978319906,1.7,1.9,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.7958800173440752,1.0,0.7600095242105264,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,2.0,-1.451544993495972,-1.1505149978319906,1.9,2.1,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.5977386175453198,1.0,0.7607925305263158,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,2.2,-1.451544993495972,-1.1505149978319906,2.1,2.3,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.4006628670075109,1.0,0.7603877305263158,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,2.4,-1.451544993495972,-1.1505149978319906,2.3,2.5,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.2006594505464182,1.0,0.7591700126315789,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,2.6,-1.451544993495972,-1.1505149978319906,2.5,2.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.0010870956412141,1.0,0.7597816842105263,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,2.8,-1.451544993495972,-1.1505149978319906,2.7,2.9,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.1986570869544226,0.0,0.7593257768421052,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,3.0,-1.451544993495972,-1.1505149978319906,2.9,3.1,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.3983740861513562,0.0,0.7604890778947369,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,3.2,-1.451544993495972,-1.1505149978319906,3.1,3.3,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.5982431916536226,0.0,0.7595563621052632,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,3.4,-1.451544993495972,-1.1505149978319906,3.3,3.5,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.7981324972646135,0.0,0.7599901557894736,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,3.6,-1.451544993495972,-1.1505149978319906,3.5,3.7,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.013333333333331998,0.013333333333331998,6.4e-05,0.0012,0.0006666666666666,-0.9980412643634284,0.0,0.75967904,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,3.8,-1.451544993495972,-1.1505149978319906,3.7,3.9,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.005999999999999999,0.005999999999999999,8e-05,0.0012,0.0003,-1.1980381888468132,0.0,0.7604504757894737,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.3010299956639813,4.0,-1.451544993495972,-1.1505149978319906,3.9,4.1,0.05,nominal FDR $\alpha$,0.05,1000,0.05,,25,100,0.474933333333332,0.474933333333332,0.001704,0.0572,0.0237466666666666,-1.3979834359489005,0.0,0.7615701136842106,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,1.4,-1.1505149978319906,-0.8494850021680094,1.3,1.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.8860566476931633,1.0,0.7590098357894737,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,1.6,-1.1505149978319906,-0.8494850021680094,1.5,1.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.6882461389442457,1.0,0.7607028294736842,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,1.7999999999999998,-1.1505149978319906,-0.8494850021680094,1.7,1.9,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.494850021680094,1.0,0.7608850273684211,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.0,-1.1505149978319906,-0.8494850021680094,1.9,2.1,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.2967086218813386,1.0,0.7605232421052631,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.2,-1.1505149978319906,-0.8494850021680094,2.1,2.3,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.0996328713435296,1.0,0.7599125894736842,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.4,-1.1505149978319906,-0.8494850021680094,2.3,2.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.1003705451175629,0.0,0.7598492126315789,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.6,-1.1505149978319906,-0.8494850021680094,2.5,2.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.2999429000227671,0.0,0.7598913431578947,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,2.8,-1.1505149978319906,-0.8494850021680094,2.7,2.9,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.00275,0.00275,4e-05,0.0004,0.000275,-0.4996870826184039,0.0,0.7610153684210527,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,3.0,-1.1505149978319906,-0.8494850021680094,2.9,3.1,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.223702647352647,0.223702647352647,0.003,0.0356,0.0223702647352647,-0.6994040818153374,0.0,0.7616473178947368,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,3.2,-1.1505149978319906,-0.8494850021680094,3.1,3.3,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.047412698412698,0.047412698412698,0.000552,0.0084,0.0047412698412698,-0.8992731873176038,0.0,0.7608745684210526,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,3.4,-1.1505149978319906,-0.8494850021680094,3.3,3.5,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.20569206349206298,0.20569206349206298,0.001752,0.0392,0.0205692063492063,-1.0991624929285948,0.0,0.7602238989473684,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,3.6,-1.1505149978319906,-0.8494850021680094,3.5,3.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.10999999999999999,0.10999999999999999,0.000864,0.024,0.011,-1.2990712600274097,0.0,0.7603997557894737,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,3.8,-1.1505149978319906,-0.8494850021680094,3.7,3.9,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,0.5584813186813179,0.5584813186813179,0.003568,0.124,0.0558481318681318,-1.4990681845107945,0.0,0.7601774568421052,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.0,4.0,-1.1505149978319906,-0.8494850021680094,3.9,4.1,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,25,100,1.031628571428571,1.031628571428571,0.00476,0.2476,0.1031628571428571,-1.6990134316128815,0.0,0.7602578947368421,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-0.6989700043360187,1.4,-0.8494850021680094,-0.5484550065040281,1.3,1.5,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.585026652029182,1.0,0.7597716968421053,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-0.6989700043360187,1.6,-0.8494850021680094,-0.5484550065040281,1.5,1.7,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.3872161432802645,1.0,0.75938912,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure6_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-0.6989700043360187,1.7999999999999998,-0.8494850021680094,-0.5484550065040281,1.7,1.9,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.1938200260161128,1.0,0.7606874610526315,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
